induction,electrostatics,dispersion,total,exchange
-0.02380408,-0.37750827,-0.07987301,-0.4109941,0.07019126
-0.34281661,-1.38765207,-0.59226327,0.51493929,2.83767124
-0.60054692,-1.55114721,-0.73776565,1.30356587,4.19302566
-0.01383628,0.41345431,-0.05220558,0.37170118,0.02428874
-0.08363149,-0.40820646,-0.27149871,-0.3552985,0.40803816
-0.37951837,1.41779622,-0.45538926,3.74772714,3.16483856
-0.01247964,0.41794817,-0.05319334,0.3697104,0.01743521
-0.01141219,-0.40182972,-0.03105737,-0.44009633,0.00420295
-0.15845193,-1.31412129,-0.2085331,-1.23146404,0.44964228
-0.11529719,2.09027838,-0.21116532,2.42600824,0.66219237
-0.0234547,0.66286131,-0.06965282,0.61553612,0.04578234
-0.00955901,-0.19899821,-0.03714009,-0.23846274,0.00723457
-2.04414352,-11.92760134,-3.43346696,27.42690021,44.83211203
-0.01122616,0.2429846,-0.03448561,0.20290132,0.00562849
-0.02094334,-0.10951375,-0.05730273,-0.15965704,0.02810277
-0.01263896,0.05781193,-0.04599415,0.01389664,0.01471782
-0.06645019,1.1458181,-0.12584751,1.18853062,0.23501022
-0.00433977,0.27679668,-0.01459744,0.25840062,0.00054115
-0.01469915,-0.10639163,-0.05373146,-0.15252371,0.02229852
-3.08902049,-11.04176192,-2.36094038,4.06238202,20.55410481
-0.00060852,-0.11754285,-0.00757011,-0.12569362,2.787e-05
-0.02400966,0.61439895,-0.07441381,0.56597549,0.05
-0.90474169,0.73471558,-0.97800992,2.37967716,3.52771319
-0.48068182,-1.90037888,-0.81727944,2.26077916,5.45911931
-0.00490019,0.30157198,-0.01457535,0.28254458,0.00044814
-2.21318373,-7.40422753,-2.27741856,6.85868329,18.75351311
-0.01304871,-0.29396421,-0.05126052,-0.33345274,0.02482071
-0.00966171,0.22182781,-0.03855942,0.18227365,0.00866696
-0.03901745,-24.92537325,-4.71540165,57.56999384,87.24978619
-0.00473646,0.26860635,-0.01291891,0.25119911,0.00024813
-0.30578149,2.2892509,-0.33160751,2.23951838,0.58765648
-0.00877011,0.40438384,-0.02205681,0.37517566,0.00161875
-0.01277811,0.37828683,-0.03284802,0.33796916,0.00530846
-1.05320101,-4.49532811,-1.52276071,7.10963395,14.18092379
-0.03328304,0.7001782,-0.09789075,0.68599317,0.11698876
-0.58592021,1.9585602,-0.79636582,5.33170687,4.75543269
-1.98740977,-6.79390893,-2.61709393,19.67196853,31.07038116
-0.00356596,0.21199765,-0.01688474,0.19218463,0.00063768
-0.94817476,-2.13867421,-1.25591622,8.88831384,13.23107902
-0.11873724,-0.95748463,-0.23561621,-0.74313512,0.56870296
-0.17453636,1.6968148,-0.26569255,2.29302482,1.03643892
0.77837886,-22.18718451,-3.62991602,55.57961448,80.61833615
-0.67712416,1.0115309,-0.77927369,2.73019119,3.17505815
-1.72877208,-6.05214945,-1.65142982,1.49076638,10.92311774
-0.15865253,-0.67024642,-0.27605175,-0.3678737,0.73707701
-0.00367669,-0.41987992,-0.0132238,-0.43641866,0.00036175
-0.0038573,-0.26600829,-0.01679322,-0.28608252,0.0005763
-0.03553866,-1.03404845,-0.08231589,-1.09469404,0.05720896
-0.82492571,-4.07092327,-0.91918976,0.11415423,5.92919296
-0.00441478,0.13942537,-0.01567034,0.11955181,0.00021155
-0.00329136,0.26286949,-0.01791479,0.24253783,0.00087449
0.00012086,0.1336391,-0.0067246,0.12704189,6.53e-06
-0.00651339,0.65587422,-0.02655728,0.62547041,0.00266687
-0.042898,0.05889926,-0.09963044,-0.00798697,0.0756422
-4.19155037,-14.05975688,-2.28182273,-1.27286792,19.26026207
-0.15056923,-2.35509388,-0.15658581,-2.43180849,0.23044042
-0.01353953,-0.09027405,-0.03498702,-0.13342107,0.00537952
-0.00436536,0.46027628,-0.01993218,0.4376446,0.00166587
-1.65939684,0.85040069,-1.373569,4.98626765,7.1688328
-2.33025914,-2.94349131,-1.95975764,5.05900028,12.29250837
-0.02703039,0.61235608,-0.06357054,0.55279789,0.03104275
-1.21414628,-4.39127139,-0.96722122,-1.37959644,5.19304245
-0.2166787,1.08422715,-0.34925782,2.15138664,1.63309601
-0.07890883,-2.04251191,-0.15050866,-2.0414703,0.23045909
-0.73232299,-19.22073973,-3.82814489,40.18568245,63.96689006
-0.06698919,-1.49588745,-0.13849089,-1.45244354,0.24892399
-1.07015621,-4.7961111,-1.66198227,13.93516637,21.46341594
-0.02294507,-0.37843876,-0.07243922,-0.4170422,0.05678084
-1.60605192,-9.99060859,-1.43008613,-2.78259195,10.24415469
-0.01400863,-0.388453,-0.05347401,-0.43021217,0.02572348
-0.00721766,-0.69101164,-0.01543098,-0.71331615,0.00034414
-0.04112759,0.52642768,-0.09436184,0.44623327,0.05529501
-0.00238958,-0.30653108,-0.0108696,-0.31970304,8.721e-05
-0.99703282,-5.88744106,-0.9181132,-3.35693366,4.44565341
-0.75623868,2.45286831,-0.74977433,7.22898872,6.28213342
-0.10480605,-2.27932632,-0.16403983,-2.22565297,0.32251923
-1.51057432,-5.58948593,-1.60365798,0.492095,9.19581323
-0.00566154,0.29211676,-0.01866714,0.26875909,0.00097102
-0.11544152,-1.42566118,-0.28254538,-1.05609419,0.76755389
-5.82378873,-18.8741695,-3.72833846,4.73013763,33.15643432
-0.01299916,0.61829913,-0.02610703,0.58113723,0.00194428
-0.00325245,0.50631518,-0.01611221,0.48747649,0.00052597
-0.01038517,-0.73582053,-0.02817722,-0.77210795,0.00227497
-0.10433859,1.07074583,-0.19110814,1.10429195,0.32899285
-0.03027989,0.42762713,-0.10583884,0.43584384,0.14433545
-0.08495253,-1.60828159,-0.10940841,-1.68456453,0.11807801
-0.25551858,1.16563757,-0.41048591,1.85795383,1.35832076
-0.01248428,-0.9059069,-0.02286841,-0.93950524,0.00175434
-0.11056564,-1.44496957,-0.15770102,-1.3798728,0.33336343
-0.09200238,1.51745897,-0.20806288,1.56394367,0.34654997
-0.93916483,-6.65611176,-1.24898082,2.58345941,11.42771682
-0.01294488,-0.35233497,-0.04311026,-0.39515771,0.01323241
-0.0438935,1.37660662,-0.07100548,1.3049645,0.04325686
-1.12873025,-1.87474723,-1.33332703,12.83200718,17.1688117
-0.81829329,-15.14342287,-2.49811178,18.40912834,36.86895628
-1.28103268,2.26905765,-1.21440955,13.0027462,13.22913077
-0.01425035,-0.70907666,-0.03187173,-0.7500427,0.00515605
-0.0108581,-0.57114295,-0.04333685,-0.61385231,0.01148559
-0.00120693,-0.26861333,-0.00918886,-0.27887516,0.00013397
-0.007687,0.66151157,-0.01790664,0.63608632,0.00016839
-0.11313978,0.47570457,-0.25899197,0.96777601,0.86420318
-0.01059255,-0.10496469,-0.03705365,-0.14591835,0.00669254
-0.03109824,0.87710867,-0.09056996,0.83141214,0.07597167
-5.8178115,-17.22194708,-2.95290101,2.33809997,28.33075956
-0.01060749,0.39170086,-0.04468737,0.35066747,0.01426148
-3.45197142,-10.42863281,-4.30246054,33.52593179,51.70899656
